time,vehicle_id,x,y,theta,v,a,delta,delay_active,outage,recv_ok,meas_available,xL_true,vL_true,xL_true_del,vL_true_del,obs_x,obs_v,xL_hat,vL_hat,applied_bias,applied_noise
0.0,0,101.0,1.5,0.0,10.001490142459033,0.01490142459033698,0.0,False,False,True,True,,,,,,,,,False,False
0.0,1,77.75,1.5,0.0,17.149999997740238,-3.500000022597612,0.0,False,False,True,True,100.0,10.0,100.0,10.0,100.0,10.0,100.0900097307817,9.99189101524489,False,False
0.0,2,68.1,1.5,0.0,15.649999997710902,-3.500000022890984,0.0,False,False,True,True,100.0,10.0,100.0,10.0,100.0,10.0,100.0900097307817,9.99189101524489,False,False
0.0,3,55.05,1.5,0.0,15.149999997963548,-3.5000000203645274,0.0,False,False,True,True,100.0,10.0,100.0,10.0,100.0,10.0,100.0900097307817,9.99189101524489,False,False
0.0,4,43.2,1.5,0.0,11.649999999787644,-3.5000000021235667,0.0,False,False,True,True,100.0,10.0,100.0,10.0,100.0,10.0,100.0900097307817,9.99189101524489,False,False
0.1,0,102.0001490142459,1.5,0.0,10.00107534955552,-0.00414792903513554,0.0,False,False,True,True,,,,,,,,,False,False
0.1,1,79.46499999977402,1.5,0.0,16.79999999549897,-3.500000022412692,0.0,False,False,True,True,101.0,10.001490142459033,101.0,10.001490142459033,101.0,10.001490142459033,101.04448403586247,9.994520010991392,False,False
0.1,2,69.66499999977108,1.5,0.0,15.29999999547006,-3.500000022408417,0.0,False,False,True,True,101.0,10.001490142459033,101.0,10.001490142459033,101.0,10.001490142459033,101.04448403586247,9.994520010991392,False,False
0.1,3,56.56499999979635,1.5,0.0,14.799999995985194,-3.500000019783526,0.0,False,False,True,True,101.0,10.001490142459033,101.0,10.001490142459033,101.0,10.001490142459033,101.04448403586247,9.994520010991392,False,False
0.1,4,44.364999999978764,1.5,0.0,11.300000000023074,-3.49999999764571,0.0,False,False,True,True,101.0,10.001490142459033,101.0,10.001490142459033,101.0,10.001490142459033,101.04448403586247,9.994520010991392,False,False
0.2,0,103.00025654920145,1.5,0.0,10.003018415169823,0.019430656143020773,0.0,False,False,True,True,,,,,,,,,False,False
0.2,1,81.14499999932391,1.5,0.0,16.449999993289236,-3.500000022097314,0.0,False,False,True,True,102.0001490142459,10.00107534955552,102.0001490142459,10.00107534955552,102.0001490142459,10.00107534955552,102.02752951535547,9.995705985787723,False,False
0.2,2,71.19499999931809,1.5,0.0,14.949999993289564,-3.5000000218049494,0.0,False,False,True,True,102.0001490142459,10.00107534955552,102.0001490142459,10.00107534955552,102.0001490142459,10.00107534955552,102.02752951535547,9.995705985787723,False,False
0.2,3,58.04499999939487,1.5,0.0,14.449999994085067,-3.5000000190012845,0.0,False,False,True,True,102.0001490142459,10.00107534955552,102.0001490142459,10.00107534955552,102.0001490142459,10.00107534955552,102.02752951535547,9.995705985787723,False,False
0.2,4,45.49499999998107,1.5,0.0,10.950000000965794,-3.499999990572801,0.0,False,False,True,True,102.0001490142459,10.00107534955552,102.0001490142459,10.00107534955552,102.0001490142459,10.00107534955552,102.02752951535547,9.995705985787723,False,False
0.30000000000000004,0,104.00055839071844,1.5,0.0,10.007587504739046,0.04569089569224077,0.0,False,False,True,True,,,,,,,,,False,False
0.30000000000000004,1,82.78999999865283,1.5,0.0,16.0999999911154,-3.500000021738342,0.0,False,False,True,True,103.00025654920145,10.003018415169823,103.00025654920145,10.003018415169823,103.00025654920145,10.003018415169823,103.0185477069997,9.99723472591835,False,False
