time,vehicle_id,x,y,theta,v,a,delta,delay_active,outage,recv_ok,meas_available,xL_true,vL_true,xL_true_del,vL_true_del,obs_x,obs_v,xL_hat,vL_hat,applied_bias,applied_noise
0.0,0,101.0,1.5,0.0,10.004967141530113,0.04967141530112327,0.0,False,False,True,True,,,,,,,,,False,False
0.0,1,77.75,1.5,0.0,17.14999999747311,-3.5000000252688968,0.0,False,False,True,True,100.0,10.0,100.0,10.0,100.23086784941441,9.677623976390617,100.29748308496332,9.700665488828498,True,True
0.0,2,68.1,1.5,0.0,15.649999997461725,-3.5000000253827515,0.0,False,False,False,False,100.0,10.0,100.0,10.0,,,101.0,10.0,False,False
0.0,3,55.05,1.5,0.0,15.149999997615677,-3.5000000238432283,0.0,False,False,False,False,100.0,10.0,100.0,10.0,,,101.0,10.0,False,False
0.0,4,43.2,1.5,0.0,11.64999999846132,-3.5000000153868047,0.0,False,False,True,True,100.0,10.0,100.0,10.0,100.4594510923447,10.215842563101479,100.50985601805078,10.191856302848544,True,True
0.1,0,102.00049671415302,1.5,0.0,10.012641488821641,0.07674347291529088,0.0,False,False,True,True,,,,,,,,,False,False
0.1,1,79.4649999997473,1.5,0.0,16.7999999949579,-3.500000025152094,0.0,False,False,False,False,101.0,10.004967141530113,101.0,10.004967141530113,,,101.26754963384617,9.700665488828498,False,False
0.1,2,69.66499999974617,1.5,0.0,15.299999994953552,-3.5000000250817225,0.0,False,False,True,True,101.0,10.004967141530113,101.0,10.004967141530113,101.06526280703252,10.013479150247306,101.14863764173674,9.99731284953277,True,True
0.1,3,56.56499999976157,1.5,0.0,14.799999995265159,-3.5000000235051836,0.0,False,False,False,False,101.0,10.004967141530113,101.0,10.004967141530113,,,102.0,10.0,False,False
0.1,4,44.364999999846134,1.5,0.0,11.299999997074057,-3.5000000138726373,0.0,False,False,False,False,101.0,10.004967141530113,101.0,10.004967141530113,,,101.52904164833564,10.191856302848544,False,False
0.2,0,103.00176086303517,1.5,0.0,10.015061111537301,0.02419622715660341,0.0,False,False,True,True,,,,,,,,,False,False
0.2,1,81.1449999992431,1.5,0.0,16.44999999246303,-3.5000000249486964,0.0,True,False,True,True,102.00049671415302,10.012641488821641,100.0,10.0,99.3433598776711,10.063289016190266,100.71724233081251,9.761122083663848,True,True
0.2,2,71.19499999924153,1.5,0.0,14.94999999248278,-3.5000000247077137,0.0,True,False,False,False,102.00049671415302,10.012641488821641,100.0,10.0,,,102.14836892669001,9.99731284953277,False,False
0.2,3,58.04499999928808,1.5,0.0,14.449999992949111,-3.5000000231604824,0.0,True,False,True,True,102.00049671415302,10.012641488821641,100.0,10.0,99.53806200119206,9.759331239658518,99.8362753395592,9.700665960462862,True,True
